S. No.,Monthly Rent,xi - X,x2,,,
1,30100,-15471,239351841,,,
2,30500,-15071,227135041,,,
3,30900,-14671,215238241,,Column1,Column2
4,30900,-14671,215238241,,mean,46721.25
5,31000,-14571,212314041,,median,45000
6,31000,-14571,212314041,,mode,44600
7,31900,-13671,186896241,,Variance,55336559
8,32200,-13371,178783641,,SD,7438.854683
9,32500,-13071,170851041,,range,69300
10,32700,-12871,165662641,,skweness,-0.285158145
11,32900,-12671,160554241,,IQR,58350
12,33000,-12571,158030041,,,
13,33100,-12471,155525841,,,
14,33200,-12371,153041641,,,
15,33200,-12371,153041641,,,
16,33400,-12171,148133241,,,
17,33600,-11971,143304841,,,
18,34100,-11471,131583841,,,
19,34200,-11371,129299641,,,
20,34200,-11371,129299641,,,
21,34400,-11171,124791241,,,
22,34400,-11171,124791241,,,
23,35100,-10471,109641841,,,
24,35700,-9871,97436641,,,
25,36000,-9571,91604041,,,
26,36600,-8971,80478841,,,
27,37100,-8471,71757841,,,
28,37300,-8271,68409441,,,
29,37800,-7771,60388441,,,
30,37900,-7671,58844241,,,
31,38200,-7371,54331641,,,
32,38200,-7371,54331641,,,
33,38300,-7271,52867441,,,
34,38700,-6871,47210641,,,
35,38900,-6671,44502241,,,
36,39100,-6471,41873841,,,
37,39200,-6371,40589641,,,
38,40000,-5571,31036041,,,
39,40100,-5471,29931841,,,
40,40100,-5471,29931841,,,
41,40400,-5171,26739241,,,
42,40500,-5071,25715041,,,
43,40500,-5071,25715041,,,
44,40700,-4871,23726641,,,
45,40700,-4871,23726641,,,
46,40800,-4771,22762441,,,
47,40900,-4671,21818241,,,
48,41000,-4571,20894041,,,
49,41000,-4571,20894041,,,
Q1,41050,,,,,
50,41100,-4471,19989841,,,
51,41300,-4271,18241441,,,
52,41400,-4171,17397241,,,
53,41400,-4171,17397241,,,
54,41500,-4071,16573041,,,
55,41600,-3971,15768841,,,
56,41600,-3971,15768841,,,
57,41700,-3871,14984641,,,
58,41700,-3871,14984641,,,
59,41800,-3771,14220441,,,
60,41900,-3671,13476241,,,
61,41900,-3671,13476241,,,
62,42000,-3571,12752041,,,
63,42100,-3471,12047841,,,
64,42200,-3371,11363641,,,
65,42300,-3271,10699441,,,
66,42300,-3271,10699441,,,
67,42300,-3271,10699441,,,
68,42500,-3071,9431041,,,
69,42600,-2971,8826841,,,
70,42600,-2971,8826841,,,
71,42600,-2971,8826841,,,
72,42700,-2871,8242641,,,
73,42900,-2671,7134241,,,
74,43000,-2571,6610041,,,
75,43100,-2471,6105841,,,
76,43100,-2471,6105841,,,
77,43400,-2171,4713241,,,
78,43700,-1871,3500641,,,
79,43700,-1871,3500641,,,
80,43800,-1771,3136441,,,
81,43800,-1771,3136441,,,
82,43900,-1671,2792241,,,
83,43900,-1671,2792241,,,
84,43900,-1671,2792241,,,
85,43900,-1671,2792241,,,
86,44000,-1571,2468041,,,
87,44200,-1371,1879641,,,
88,44300,-1271,1615441,,,
89,44400,-1171,1371241,,,
90,44400,-1171,1371241,,,
91,44600,-971,942841,,,
92,44600,-971,942841,,,
93,44600,-971,942841,,,
94,44600,-971,942841,,,
95,44600,-971,942841,,,
96,44600,-971,942841,,,
97,44700,-871,758641,,,
98,44800,-771,594441,,,
Q2,89600,,,,,
99,44800,-771,594441,,,
100,44900,-671,450241,,,
101,45000,-571,326041,,,
102,45000,-571,326041,,,
103,45300,-271,73441,,,
104,45400,-171,29241,,,
105,45400,-171,29241,,,
106,45400,-171,29241,,,
107,45500,-71,5041,,,
108,45500,-71,5041,,,
109,45500,-71,5041,,,
110,45500,-71,5041,,,
111,45800,229,52441,,,
112,45800,229,52441,,,
113,46400,829,687241,,,
114,46500,929,863041,,,
115,46700,1129,1274641,,,
116,46800,1229,1510441,,,
117,46900,1329,1766241,,,
118,46900,1329,1766241,,,
119,46900,1329,1766241,,,
120,46900,1329,1766241,,,
121,47000,1429,2042041,,,
122,47100,1529,2337841,,,
123,47100,1529,2337841,,,
124,47300,1729,2989441,,,
125,47300,1729,2989441,,,
126,47500,1929,3721041,,,
127,47700,2129,4532641,,,
128,47800,2229,4968441,,,
129,47800,2229,4968441,,,
130,48000,2429,5900041,,,
131,48100,2529,6395841,,,
132,48100,2529,6395841,,,
133,48100,2529,6395841,,,
134,48300,2729,7447441,,,
135,48600,3029,9174841,,,
136,48600,3029,9174841,,,
137,48700,3129,9790641,,,
138,48800,3229,10426441,,,
139,48900,3329,11082241,,,
140,49000,3429,11758041,,,
141,49000,3429,11758041,,,
142,49200,3629,13169641,,,
143,49400,3829,14661241,,,
144,49400,3829,14661241,,,
145,49500,3929,15437041,,,
146,49600,4029,16232841,,,
147,49700,4129,17048641,,,
Q3,99400,,,,,
148,49700,4129,17048641,,,
149,49800,4229,17884441,,,
150,49800,4229,17884441,,,
151,49900,4329,18740241,,,
152,50400,4829,23319241,,,
153,50600,5029,25290841,,,
154,50700,5129,26306641,,,
155,51100,5529,30569841,,,
156,51200,5629,31685641,,,
157,51300,5729,32821441,,,
158,51600,6029,36348841,,,
159,51700,6129,37564641,,,
160,51800,6229,38800441,,,
161,51900,6329,40056241,,,
162,51900,6329,40056241,,,
163,52000,6429,41332041,,,
164,52600,7029,49406841,,,
165,52600,7029,49406841,,,
166,53100,7529,56685841,,,
167,53200,7629,58201641,,,
168,53900,8329,69372241,,,
169,53900,8329,69372241,,,
170,54300,8729,76195441,,,
171,55000,9429,88906041,,,
172,55000,9429,88906041,,,
173,55100,9529,90801841,,,
174,55200,9629,92717641,,,
175,55400,9829,96609241,,,
176,55700,10129,102596641,,,
177,55800,10229,104632441,,,
178,56900,11329,128346241,,,
179,57200,11629,135233641,,,
180,57200,11629,135233641,,,
181,57700,12129,147112641,,,
182,57700,12129,147112641,,,
183,57800,12229,149548441,,,
184,58000,12429,154480041,,,
185,58200,12629,159491641,,,
186,58200,12629,159491641,,,
187,58300,12729,162027441,,,
188,58500,12929,167159041,,,
189,58600,13029,169754841,,,
190,58600,13029,169754841,,,
191,58600,13029,169754841,,,
192,58900,13329,177662241,,,
193,58900,13329,177662241,,,
194,58900,13329,177662241,,,
195,59100,13529,183033841,,,
196,59500,13929,194017041,,,
197,59600,14029,196812841,,,
198,59800,14229,202464441,,,
199,59800,14229,202464441,,,
200,59800,14229,202464441,,,
,,,,,,
,,,11067311800,,,
